prefecture_name,eng_name,kanji_name,kana_name,municipality_type
Tokyo,Chiyoda,千代田区,ちよだく,ward
Tokyo,Chūō,中央区,ちゅうおうく,ward
Tokyo,Minato,港区,みなとく,ward
Tokyo,Shinjuku,新宿区,しんじゅくく,ward
Tokyo,Bunkyō,文京区,ぶんきょうく,ward
Tokyo,Taitō,台東区,たいとうく,ward
Tokyo,Sumida,墨田区,すみだく,ward
Tokyo,Kōtō,江東区,こうとうく,ward
Tokyo,Shinagawa,品川区,しながわく,ward
Tokyo,Meguro,目黒区,めぐろく,ward
Tokyo,Ōta,大田区,おおたく,ward
Tokyo,Setagaya,世田谷区,せたがやく,ward
Tokyo,Shibuya,渋谷区,しぶやく,ward
Tokyo,Nakano,中野区,なかのく,ward
Tokyo,Suginami,杉並区,すぎなみく,ward
Tokyo,Toshima,豊島区,としまく,ward
Tokyo,Kita,北区,きたく,ward
Tokyo,Arakawa,荒川区,あらかわく,ward
Tokyo,Itabashi,板橋区,いたばしく,ward
Tokyo,Nerima,練馬区,ねりまく,ward
Tokyo,Adachi,足立区,あだちく,ward
Tokyo,Katsushika,葛飾区,かつしかく,ward
Tokyo,Edogawa,江戸川区,えどがわく,ward
Tokyo,Hachiōji,八王子市,はちおうじし,city
Tokyo,Tachikawa,立川市,たちかわし,city
Tokyo,Musashino,武蔵野市,むさしのし,city
Tokyo,Mitaka,三鷹市,みたかし,city
Tokyo,Ōme,青梅市,おうめし,city
Tokyo,Fuchū,府中市,ふちゅうし,city
Tokyo,Akishima,昭島市,あきしまし,city
Tokyo,Chōfu,調布市,ちょうふし,city
Tokyo,Machida,町田市,まちだし,city
Tokyo,Koganei,小金井市,こがねいし,city
Tokyo,Kodaira,小平市,こだいらし,city
Tokyo,Hino,日野市,ひのし,city
Tokyo,Higashimurayama,東村山市,ひがしむらやまし,city
Tokyo,Kokubunji,国分寺市,こくぶんじし,city
Tokyo,Kunitachi,国立市,くにたちし,city
Tokyo,Fussa,福生市,ふっさし,city
Tokyo,Komae,狛江市,こまえし,city
Tokyo,Higashiyamato,東大和市,ひがしやまとし,city
Tokyo,Kiyose,清瀬市,きよせし,city
Tokyo,Higashikurume,東久留米市,ひがしくるめし,city
Tokyo,Musashimurayama,武蔵村山市,むさしむらやまし,city
Tokyo,Tama,多摩市,たまし,city
Tokyo,Inagi,稲城市,いなぎし,city
Tokyo,Hamura,羽村市,はむらし,city
Tokyo,Akiruno,あきる野市,あきるのし,city
Tokyo,Nishitokyo,西東京市,にしとうきょうし,city
Tokyo,Mizuho,瑞穂町,みずほまち,town
Tokyo,Hinode,日の出町,ひのでまち,town
Tokyo,Okutama,奥多摩町,おくたままち,town
Tokyo,Ōshima,大島町,おおしままち,town
Tokyo,Hachijō,八丈町,はちじょうまち,town
Tokyo,Hinohara,檜原村,ひのはらむら,village
Tokyo,To-shima,利島村,としまむら,village
Tokyo,Niijima,新島村,にいじまむら,village
Tokyo,Kōzushima,神津島村,こうづしまむら,village
Tokyo,Miyake,三宅村,みやけむら,village
Tokyo,Mikurajima,御蔵島村,みくらじまむら,village
Tokyo,Aogashima,青ヶ島村,あおがしまむら,village
Tokyo,Ogasawara,小笠原村,おがさわらむら,village
